,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
university of dayton oh,12.98,5.87,3,3,2,4,2,4,12,0,2,3.75,1.7,2,2,4,0.5,0.02,1,0,3,3,5,2.3,2,2,0,4.02,1.47,1,0,0.02,0.16,2,1.27,1,3,0.95,0.83,0.76,0.15,0,1.6,2.67,0.8,1,4,0.5,1,3.75,0,0,2,1,3,3.07,0.5,1.49,0,0.34,1,1,1.72,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/,4,2,1,2.63,1.76,0.33,2.25,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.16
dalhousie university ns,10.56,3.28,3,3,2,2,2,4,10.86,4,1.33,2.09,2,2,2,4,0.5,1.2,1,1.25,2,3,5,3.68,2,2,2.69,4.14,1.67,2,4.29,0.23,1.19,2,1.24,1,2.75,0.87,1,0.93,0.03,4.24,0.8,5.34,0.85,1,4,1,1,4,3,1,1.33,0.75,2,2.31,1,2.44,0.58,0.35,1,1,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/dalhousie-university-ns/report/2021-07-21/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.77
loyola university chicago il,12.25,7.56,3,3,2,0,2,4,10.32,3,2,2.21,2,2,2,4,0,2.08,0.51,1.25,3,3,0,3.52,2,2,2.83,5.61,2.4,2,4.66,0.95,0.95,2,1.79,2,2,0.96,0.95,0.51,0.43,4.03,1,4.61,0.88,1,2.65,2,1,4,1.88,1,1.33,1,1.67,2.64,0,1.33,0,1.36,0,0.75,1.3,0,0,0.5,0.5,0,0.5,0.25,0,0.5,0.5,0,0,0,0,0.5,0,0,0,https://reports.aashe.org/institutions/loyola-university-chicago-il/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,148.42
pennsylvania state university pa,6.53,4.77,3,3,2,4,2,4,12,4,2,2.82,1.74,2,2,4,0.5,1.42,0.3,1.25,3,3,5,3.58,2,2,2,3.71,2.15,2.02,3.81,0.1,0.58,2,1,2,3,0.47,0.6,0.42,0.05,3.55,1,2.86,0.83,1,4.61,2,1,4,2.38,1,1.67,1,3,2.42,0,0.84,0,1.7,1,1,1.11,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.29
california state university northridge ca,14,4.59,1.5,0,2,4,2,4,12,0,2,4,2,2,2,4,0.5,1.31,1,0,3,3,0,1,2,0,0,6.43,2.34,2,0,0.32,1.26,2,1,1,2.75,0.87,0.93,0.38,0.71,0,2,3.87,0.56,1,6,2,1,3.75,0,0,1.33,1,2.92,4,0,0.33,0.75,1.14,1,1,0.68,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/california-state-university-northridge-ca/report/2018-12-10/,3,1.25,1,5.61,0.82,0.42,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.57
grand valley state university mi,8.7,8,3,3,2,4,2,4,10.48,4,2,2.46,2,2,2,4,1,1.78,1,1.25,3,2.5,5,0.8,2,2,1.88,2.55,2.31,1,4.01,0,1.03,2,1,2,2.5,0.5,0.73,0.5,0.63,2.77,1,3.72,0.9,1,3.59,2,1,3,2.25,1,1.67,1,3,2.54,0,0,1,1.88,1,0.75,1.61,0.25,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,https://reports.aashe.org/institutions/grand-valley-state-university-mi/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,147.54
university of vermont vt,12.86,8,3,3,2,1,2,4,9.96,4,0.67,2.22,2,2,2,4,1,0.66,0.95,1.25,3,3,5,1.07,0.67,2,2.35,3.76,1.14,1,3.13,1.03,2.51,2,0.77,2,1.5,0.4,0.84,0.63,0.09,3.9,1,4.29,0.98,1,3.91,2,1,1,1.38,1,2,1,3,2.7,2,1.96,0,1.59,1,1,0.85,0.25,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,147.02
oregon state university or,13.68,4.06,3,3,2,0,0,4,11.32,3,2,2.75,2,2,2,4,0,1.76,1,1.25,3,2,5,1.95,2,2,1.42,4.32,1.25,1.91,4.81,0.1,1.49,2,1.06,1,2,0.69,0.96,0.3,0,3.6,0.6,4.9,0.88,1,3.18,2,1,3.5,3,1,1.33,1,3,2.61,0,1.72,1,2.01,0.39,1,1.19,0.25,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,146.24
portland state university or,9.75,8,3,3,2,0,2,4,12,4,2,3.36,2,2,2,4,0,0,1,1.75,3,2.5,5,4.01,2,0,1.94,4.03,2.63,1.36,4,0.01,1.28,2,1,1,2.5,0.9,0.88,0.46,0.24,3.81,0.8,3.38,0.9,1,4,1,1,4,1.63,0,2,1,3,2.56,0,0.75,0,1.17,0.19,1,1.76,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.55
university of california san diego ca,10.18,0.35,3,3,2,0,2,4,12,4,2,1.75,0,2,2,4,0,1.52,1,1.25,3,3,2.62,1.88,2,2,2.19,3.8,2.31,2.02,3.61,0.25,1.41,2,1,2,2,0.42,0.67,0.64,0.61,2.75,1,5.61,0.74,0.75,4.45,2,1,3.5,2.5,1,1.78,1,3,3,2,3.19,1,0.06,0.61,1,1.21,0,0,0.5,0,0.5,0.5,0,0.25,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,145.38
iowa state university ia,14,7.84,3,3,2,2,2,4,12,0,0,4,2,2,2,4,0.25,3,1,0,3,3,5,1.17,2,0,0,2.16,1.9,1.5,0,0.08,0.26,2,1,0,2.5,0.6,0.91,0.35,0.07,0,2,5.13,0.81,1,0.47,2,1,3.5,0,0,2,1,3,3.04,0.5,1.74,0.16,1.64,1,1,0.68,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/iowa-state-university-ia/report/2019-08-30/,3,2,1,2.37,1.84,0.96,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,145.18
appalachian state university nc,14,7.33,3,3,2,2,2,4,12,0,0,4,2,2,2,4,0,3,1,0,3,3,5,1.78,2,2,0,5,2.09,1.45,0,0,0,2,0.81,2,1.25,0,0.97,0,0.02,0,1.2,3.38,0.93,1,1.96,0.5,1,3.25,0,0,1.33,1,2,3.07,2,0,0,0.87,1,1,0.98,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/appalachian-state-university-nc/report/2019-04-19/,3,1.25,1,4.54,1.52,0.32,2.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.05
humboldt state university ca,12.19,8,3,3,2,4,0,4,10.36,2,1.33,4,2,2,2,4,0.5,0,1,1.5,3,3,3,2.63,2,0,2,4.57,1.25,1,2.55,0,0,2,0,0,2.5,0.63,0.91,0.88,0.26,3.17,1,3.75,0.88,0.5,3.7,2,1,4,1.63,1,1.56,0,3,2.5,2,1,0.9,0.58,1,1,1.6,0,0,0.5,0,0,0.5,0,0.25,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/humboldt-state-university-ca/report/2020-05-07/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.25,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,144.83
san jose state university ca,14,6.77,3,3,2,2,2,4,10.08,4,1.33,2.34,2,2,2,4,0.5,2.05,1,2,3,2.5,4.59,0.72,2,2,2.35,3.31,1.82,1.16,3.13,0.01,0,1.8,1,2,3,0.18,0.3,0.65,0.53,3.03,0.8,3.72,0.98,1,4.6,2,1,1.5,1.63,0,1.33,1,3,3,0,0.46,1,0,0,1,0.68,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,144.6
california state university chico ca,10.91,7.37,3,3,2,4,2,4,9.94,0,0,2.17,2,2,2,4,0.25,1.51,1,0,3,3,5,1.51,2,0,0,7.69,2.38,0.41,0,0.03,2.02,2,1.66,2,1.75,0.83,0.87,0.42,0.3,0,2,5.09,0.64,1,2.18,1,1,4,0,0,1.56,0.75,2.83,2.12,0,1.33,0,1.8,0.55,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/california-state-university-chico-ca/report/2018-02-28/,3,1.25,0.5,3.13,1.28,0.72,2.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.2
florida gulf coast university fl,13.77,8,3,3,2,4,2,4,12,4,2,3.18,2,2,2,4,0.5,0,1,2,3,3,5,4.33,0.67,1,1.67,4.45,1.59,0,5.09,0.22,0,2,1.43,2,1.5,0.61,0.89,0.34,0.7,1.37,1,2.58,0.52,0.75,2.68,2,1,3,2.38,0,1.56,0,1.25,2.57,0,0,0,0.96,0,1,0.62,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/2020-07-23/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.18
simon fraser university bc,12.75,2.02,3,3,2,0,2,4,12,0,2,4,2,2,2,4,0,3,1,0,3,3,4.76,0.07,2,0,0,9.58,1.53,1.5,0,0,0.19,2,1.4,0,2.5,1,0.96,0.35,0.01,0,2,4.08,0.92,1,3.95,1,1,2.5,0,0,1.33,0.25,2,1.91,2,1.84,1,0.93,0.15,1,1.01,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/,4,1.25,0.5,3.86,1.84,1.6,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.79
virginia tech va,13.45,6.78,3,3,2,2,2,4,11.25,4,2,2.88,2,2,2,4,0.5,1.68,1,2,3,3,3.19,1.9,2,2,2.63,1.66,1.77,2,2.99,0.38,0,2,0.88,0.5,2.25,0.74,0.96,0.07,0.05,3.14,0.6,4.14,0.99,1,0.9,2,1,3,3,1,1.78,1,3,2.7,0,0.08,0,1.13,1,0.75,1.22,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/virginia-tech-va/report/2021-02-18/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.19
university of illinois urbana champaign il,11.5,8,3,3,2,2,2,4,11.15,0,2,1.4,2,2,2,4,0.5,1.08,1,0,3,3,5,1.64,2,2,0,4.46,2.69,1,0,0.03,0,2,0.28,2,1.75,0,0.98,0,0.17,0,2,3.05,0,1,3.33,2,1,4,0,0,2,1,3,2.78,0,0.08,0,2.01,0,1,1.4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/2019-02-27/,4,1.25,1,3.49,1.8,0.84,2.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.16
american university dc,7.57,2.63,3,3,2,2,2,4,8.35,4,1.33,1.66,2,2,2,4,0.5,1.65,1,1.25,3,3,0,1.1,2,2,2.4,8,2.45,2,4.48,2.27,1.27,1.75,1.09,2,3,0.59,0.97,0.48,0.3,3.88,1,3.97,0.68,1,4,2,1,2,2.38,1,2,1,3,2.65,2,0.33,0,1.37,1,1,1.34,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/american-university-dc/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.69
macalester college mn,13.67,3.4,3,0,2,4,2,4,8.11,4,2,2.03,2,2,2,4,1,2.3,1,1.75,2,3,0,3.56,2,2,2.35,3.6,1.25,1.98,3.7,0.22,0,2,1.09,2,2.75,0.74,0.75,0.93,0.47,4.11,1,3.85,0.67,1,0.23,2,1,4,2.5,1,1.78,0.88,3,3,2,1.12,0,1.05,0,1,1.62,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/macalester-college-mn/report/2021-01-19/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.46
university of california riverside ca,5.1,1.08,3,3,2,0,2,4,11.27,4,2,2.63,1.4,2,2,4,0.25,0,1,1.5,3,3,3.47,1.74,2,2,2.52,3.73,2.56,0.16,2.43,0.17,0.89,2,1,2,2.5,0.58,0.8,0.41,0.28,2.42,1,4.68,0.96,1,6,2,1,3,2.13,1,1.67,1,3,3,2,3.19,1,2.19,1,1,1.53,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,142.24
indiana university purdue university indianapolis in,7.32,4.82,3,3,2,4,2,4,10.45,4,2,2.78,2,2,2,4,0.5,1.93,1,1.25,3,3,5,4.08,2,2,2.29,1.95,2.15,2,2.9,0.14,1.01,2,1,2,3,0.64,0.79,0.04,0.41,0.58,1,3.75,0.91,1,0.29,2,1,4,2.5,1,2,1,3,2.5,0,0.06,0,0.42,1,1,1.34,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/indiana-university-purdue-university-indianapolis-in/report/2020-12-14/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,142.05
sterling college vt,14,8,3,0,2,4,2,4,12,0,0,4,2,2,2,4,0.25,0,1,0,3,2.5,5,5,0,0,0,0,0.36,0.5,0,0.35,5.95,2,1.49,2,0,1,1,0.8,0,0,1.4,6.37,0,1,1.53,1,1,3.25,0,0,2,0.88,1.5,3.21,0.5,4,0,0.78,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/sterling-college-vt/report/2021-03-05/,3,1.25,0.5,2.82,1.9,0.94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.03
university of ontario institute of technology on,10.16,3.11,3,3,2,4,2,4,12,0,0,4,2,2,2,4,1,3,1,0,3,3,4.25,0.51,0,2,0,7.07,1.25,2,0,2.12,0.33,2,0,2,2.75,1,1,1,0.31,0,2,5.48,0,0.5,2.34,2,1,3.75,0,0,1.33,0.25,1.33,1,2,0,0,1.65,1,1,0.76,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/2019-06-19/,4,1.25,1,3.85,1.38,0.44,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.92
worcester polytechnic institute ma,11.77,3.5,3,3,2,4,2,4,12,0,0,4,2,2,2,4,0.5,3,1,0,3,3,5,2.13,0.67,0,0,6.67,1.51,0.75,0,0.06,0.79,2,0.5,0,2.5,0.6,0.83,0.35,0.07,0,1.8,4.75,0.98,1,2.57,1,1,4,0,0,1.67,1,3,3.04,0,0,0,1.29,0.25,1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/worcester-polytechnic-institute-ma/report/2020-05-22/,4,1.5,1,4.74,1.56,0.45,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.6
colorado college co,13.17,1.96,3,0,2,0,0,4,10,3,0.67,3.53,2,2,2,4,0,2.59,1,1.25,3,3,0,4.36,2,1,2.79,7.99,1.25,2,3.95,0.71,0.72,1.8,1.04,2,3,0.74,0,0.34,0.25,4.24,1,4.66,0.61,1,5,2,1,4,2.13,0,1.67,1,2.92,3,2,0.33,0.23,0.8,0,1,1.11,0,0,0,0,0,0.5,0.25,0.25,0,0.5,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/colorado-college-co/report/2021-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.06
university of georgia ga,9.11,8,3,3,2,2,2,4,12,4,1.33,2.41,2,2,2,4,0.5,1.56,1,1.25,3,3,5,2.82,0.67,2,1.63,3.39,1.25,2,3.67,0.01,0,1.8,1.02,1,1.75,0,1,0.7,0.05,2.75,0.8,3.13,0.74,1,3.52,2,1,3,1.88,0,1.44,0,3,3,0,1.34,0,0.65,0,1,0.86,0,0,0.5,0,0,0.5,0.25,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.28
michigan state university mi,9.72,6.3,3,3,2,4,2,4,11.85,0,0,2.13,2,2,2,4,0.5,2.84,1,0,3,3,5,2.19,2,2,0,3.81,1.25,1.9,0,0.01,0.12,2,1.03,2,1.75,0.11,0.44,0.48,0.45,0,2,2.38,0.96,1,1.83,2,1,2.75,0,0,1.67,1,3,3.04,0,0,0,2.1,1,1,0.49,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/michigan-state-university-mi/report/2019-02-28/,4,1.75,1,2.32,1.59,1.2,1.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.21
university of san diego ca,10.58,2.84,3,3,2,0,2,3.6,12,3,0,1.35,2,2,2,4,0,0,1,1.25,3,2,5,4.21,2,1,2.56,5.17,1.34,1,4.64,0.19,0.72,1.88,0.76,2,2,1,0.89,0.07,0.2,2,1,4,0.94,0.5,5,2,1,3,2.5,0,2,1,3,2.95,2,1.99,0,0.78,1,1,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,139.66
luther college ia,13,8,3,0,2,2,2,4,12,0,0,4,2,2,2,4,1,0,1,0,3,3,3,1.85,2,0,0,5,0.9,1.38,0,0.55,0.74,2,0.36,2,2,0.89,0.78,1,0.3,0,1.6,2.52,0,0.75,3.49,1,1,3.75,0,0,1.33,0.75,2.75,3.13,2,0.04,0,0.54,0,1,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/luther-college-ia/report/2019-03-01/,4,1.5,0.5,3.79,1.98,0.76,3,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.8
university of st thomas mn,10.1,2.05,3,1.5,2,4,2,3.2,12,4,1.33,1.61,1.29,2,1.2,4,1,0,1,1.25,3,2.5,3,2.96,2,2,2.56,3.47,1.56,1,4.15,0.28,0.73,1.8,1.08,2,2,1,0.68,0.95,0.05,3.61,0.8,3.78,0.5,0.5,4,1,1,3,2.13,1,1.78,0.88,3,2.89,0,0.9,0,1.91,1,1,1.58,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,138.56
college of the atlantic me,14,8,3,3,2,4,0,4,12,0,0,4,2,2,2,4,0.5,0,1,0,2,3,0,3.81,0,0,0,6.95,1.25,1.42,0,1.42,2.17,2,2,2,2,0.98,1,0.94,0.13,0,2,3.87,0.22,0.5,0.06,1,1,2.75,0,0,1.33,0,1.42,2.28,2,1.09,0,1.52,0.7,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/2019-03-01/,4,1,1,5.11,1.79,0.19,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.48
